Qtr,ld_MassTransit_qtr,ld_Transport_qtr,ld_LandPassTerm_qtr,ld_unemployment_qtr,ld_bus_qtr,ld_rail_qtr,ld_OtherTransMod_qtr,ld_TransEmply_qtr,ld_rgdp,covid
2005 Q2,0.10713006624548882,0.14325820314846283,-0.016326893287430977,-0.03846628082779624,0.024242714072801874,0.058487738842949,0.06680495683611554,-0.009763379028639108,0.004914150308625409,0
2005 Q3,0.055933673944050355,0.16681803611475132,-0.145953912623078,-0.02649161544697609,0.0031195446870562193,-0.018465307438177092,0.05265194076353552,-0.12657122978398405,0.007807581701129607,0
2005 Q4,-0.08574954716920757,-0.06365886775078522,-0.0047732787526584275,0,-0.002459540706901464,0.007416111366733702,-0.11704201376210932,0.1565405819641299,0.0055397923720761355,0
2006 Q1,-0.10494025929526174,-0.24376524088760476,-0.18327895275028183,-0.04811924834419834,0.006528894166756061,-0.014015892082774428,0.04384500983381656,0.0011994723760277992,0.013364138447713003,0
2006 Q2,0.2621487704466148,0.2652125608073064,0.30053021492962984,-0.02135312447056892,-0.0016918478517524704,0.057116856543736105,0.07499643195690808,-3.1971865031366065e-4,0.002584185748901291,0
2006 Q3,-0.10679833042745202,0.13316450817489667,0.061875403718087085,0,-0.007738493872292196,-0.006633177522751055,0.02820790424119579,-0.12700885087467562,0.0014984360400802643,0
2006 Q4,-0.10216817455885518,-0.05169895491766496,0.21833199431698702,-0.04412480490893822,0.020131879125649732,0.010087452489354831,-0.08524069574583137,0.14515011759124619,0.00855777556541426,0
2007 Q1,-0.02965176805011538,-0.20377348351190605,-0.22234001571452566,0.014925650216675912,-0.0252908984919884,-0.01559468030661293,0.014727437556633305,0.005870628578264814,0.00300384061713288,0
2007 Q2,0.22996021029331004,0.25941643880922527,0.1279940011785321,0,0.017925960619916026,0.0594191112252922,0.08148605347071225,-0.004929008923005185,0.006098982914679141,0
2007 Q3,0.06521763831137761,0.20161852045374928,0.2571864357581255,0.03636764417087468,-0.008824972242837958,-0.017412986228372063,0.05710544698667164,-0.10031878036063269,0.005743731109308925,0
2007 Q4,-0.02787996787373359,-0.047439725071559025,0.09630322854532025,0.0281708769666964,0.01920778181429128,0.023451413470279903,-0.07529480122562404,0.13780344748783158,0.00626271551219304,0
2008 Q1,-0.07048987775454663,-0.22407178225719093,0.02692941187862985,0.040821994520255256,-0.010085364074637226,-0.04011376501075148,9.537751423032148e-4,-0.0045430531685184405,-0.004276775590032145,0
2008 Q2,0.22896924558574128,0.185903147054713,0.2564007730706912,0.06453852113757108,0.045950737838527544,0.07638750317446608,0.08477280887044003,0.008538987162038936,0.005936625931315831,0
2008 Q3,0.05053339894834963,0.1403865662880932,0.09105304268100767,0.11778303565638337,0.00827719535739746,-0.0079092518432482,0.051987450980437444,-0.11603512847065112,-0.0052664238027837484,0
2008 Q4,0.008460287349393525,-0.05397415354651969,-0.12527691506858574,0.13491931789937084,-0.020488354815782372,-0.005099652368340202,-0.08394076756615121,0.12061454415345452,-0.022133412739485436,0
2009 Q1,-0.04656013358166078,-0.19380014050841154,0.02105340919783316,0.1855525773754012,-0.043789084641581155,-0.07476345344598911,0.014267737053842211,-0.007895668345168971,-0.011413631359900478,0
2009 Q2,0.07561987870353448,0.17005146420214245,0.17025408739383607,0.11778303565638337,0.002705928011668135,0.05864687503001065,0.070069315865968207,0.0012825834494272215,-0.00178810721762801,0
2009 Q3,0.15227845835831033,0.22751259395548828,0.24275822634971078,0.035214906291066495,-0.009281780811818408,-0.012055166816608676,0.031561226730616454,-0.1314762252013093,0.0035057715471396023,0
2009 Q4,0.016725128541629886,-0.1394866426572392,0.05010210901739853,0.03066679839297226,3.786843026531983e-4,-0.013902349092028032,-0.08608568105459113,0.13087286143008292,0.010751135379244658,0
2010 Q1,-0.0401887005067465,-0.19274652544317306,-0.19842186853386323,-0.010118130165584382,-0.030551271858527684,-0.03730687015288581,-0.010304315763754346,-0.007344901077182442,0.00483331022067901,0
2010 Q2,0.2124389792581134,0.24744823430670948,0.1936428869175124,-0.02054866822738788,0.02605038455956077,0.08867395106517861,0.08223401741544478,0.0025806465934916645,0.00962934982260677,0
2010 Q3,0.025841231183886038,0.07158690666399536,0.13741605312000615,-0.01745244995122608,-0.0180450664468772,-0.014133729007784979,0.031798384709027516,-0.08615722950083082,0.007681272705003295,0
2010 Q4,-0.11396380758938562,-0.1482340253363965,-0.061342520362522635,0.0035149421074445186,0.008352053904975065,0.004521217581089587,-0.08092201311194813,0.13757180216152776,0.00523736364445071,0
2011 Q1,-0.1178624543118687,-0.21413189028991297,-0.19820733666013624,-0.05037035938894974,-0.012683713484417325,-0.035582913160173035,-0.009411273146938015,-0.020808317164547674,-0.0023748667360479203,0
2011 Q2,0.04267874003690153,0.16145900550299075,0.19040785422531314,0.003683245416296277,0.02807952023427518,0.06605123758328091,0.09913451044874932,0.00878354351525168,0.006743037468666557,0
2011 Q3,0.041588823719248325,0.020576196113136547,-0.0540050805214598,-0.007380107297622729,-0.011383306574849428,-0.021638295074914993,0.024190717272592366,-0.10566826029699428,-2.23152255784953e-4,0
2011 Q4,-0.037487655975034784,-0.10456528698768963,-0.1310046499342974,-0.04159389729883678,0.022895093271305456,0.031570217139911705,-0.08343588062248486,0.12272069662325436,0.011167896811464573,0
2012 Q1,0.0054421903026842244,-0.131993221735609,-0.07690720678441565,-0.04339931553455534,2.076946353248843e-4,-0.01676449710391381,1.8645507027059693e-4,-0.0021516181290710534,0.008350941818790147,0
