Date,ld_MassTransit,ld_LandPassTerm,ld_Transport,ld_OthTransMod,ld_Bus,ld_Rail,ld_TransEmply,ld_unemployment,covid
2005-02-01T00:00:00Z,0.09368548407732291,-0.4795730802618863,-0.012522524998889395,-0.01444955285815297,-0.0315532084697665,-0.021288264856941908,-4.904364983051579e-4,0.018692133012152556,0
2005-03-01T00:00:00Z,0.0706175672139544,0.1694181519580482,0.0371067306294286,0.15097987817008018,0.161302997439023,0.13605157775509014,0.00367242425226344,-0.03774032798284699,0
2005-04-01T00:00:00Z,0.015037877364537877,0.03822121282019708,0.09033052283209742,-0.030759908207713238,-0.06562332233716717,-0.041611241700373114,0.010937039389895986,0,0
2005-05-01T00:00:00Z,0.06849523524876489,0,0.008678555456249626,-0.011183073824934553,0.026905140480376843,0.021178855320236778,0.00386007716934067,-0.019418085857101808,0
2005-06-01T00:00:00Z,-0.09113771199852394,0.036813973122718835,0.07780441993588383,0.034288241598275704,-0.06906817369938523,0.01226006143081193,-0.07861904862995495,-0.01980262729617932,0
2005-07-01T00:00:00Z,0.1118281052559702,-0.06213178110700923,0.0503117081381923,0.023401993955708633,-0.0035620122020105782,-0.05834016678580056,-0.1344621274137019,0,0
2005-08-01T00:00:00Z,0.006802747322755209,-0.15201620729862597,0.09612658327856494,0.05568385044458424,0.04176672887717103,0.03915952210390472,-0.0226015346259949,-0.020202707317519497,0
2005-09-01T00:00:00Z,-0.06657449062267062,-0.030305349495328926,-0.007561472700576388,-0.08248314141269475,0.04697869886976136,-0.004564404316898418,0.21056862713948377,0.020202707317519497,0
2005-10-01T00:00:00Z,-0.0036297680505796848,0.2200618847768041,0.011320875624484472,-0.033944686593414986,0.025293180132358373,0.03972281385022214,0.016407861669319956,0,0
2005-11-01T00:00:00Z,-0.07550755250814589,-0.10398971352404729,-0.07531137069602423,-0.05829363158099099,-0.08017543414545614,-0.02191127074731014,0.019959782501555168,0,0
2005-12-01T00:00:00Z,0.030890487019338053,-0.28312625591592067,-0.16772862094506635,-0.02342409116035782,-0.06173511243080654,-0.08588715281819148,-0.004534072914895049,-0.020202707317519497,0
2006-01-01T00:00:00Z,-0.15605362997334282,-0.07550755250814589,-0.1355840789422622,0.0643254271700151,0.06176122457070932,0.043126387478839234,-0.00816527111018317,-0.04167269640056803,0
2006-02-01T00:00:00Z,0.02197890671877545,0.07550755250814589,0.001824818024626751,-0.05393041541405097,-0.06145070867387403,-0.06657766771555629,0.008404419742197078,0.021053409197832273,0
2006-03-01T00:00:00Z,0.1187487527763409,0.212174519943634,0.09472991701190026,0.14772037933308368,0.1594261085246309,0.1527485169617897,4.781257561798924e-4,-0.021053409197832273,0
2006-04-01T00:00:00Z,0.07079305199109953,0.13720112151348474,0.12457766284360616,-0.06908196896296914,-0.12724354342728006,-0.07814329924401164,0,0,0
2006-05-01T00:00:00Z,0.1406998821031351,-0.05264373348542151,0.0644927660644683,0.100962837486545,0.07180393480772551,0.08779067255912665,0.021282430134334618,-0.021506205220963803,0
2006-06-01T00:00:00Z,0.030771658666754576,0.11477551459243074,0.09798955954230948,-0.008677102450199925,-0.019228507111531457,-0.005240799184054623,-0.05358639267640264,0,0
2006-07-01T00:00:00Z,-0.15718558352241274,0.10294796925244043,0.008674155998161126,-0.010993149604232144,-0.07363179421876609,-0.0680887986691765,-0.15943078449606674,0.021506205220963803,0
2006-08-01T00:00:00Z,-0.02150620522096247,-0.07913732055872202,0.054034752156518095,0.06905721102574702,0.06642551247011141,0.05457856292705188,-0.018998087099573624,0,0
2006-09-01T00:00:00Z,0,-0.15219181534192572,0.010465211791096607,-0.10383026663238937,0.030418059544956577,-6.725100510500681e-4,0.20833991603009494,-0.04348511193973881,0
2006-10-01T00:00:00Z,0.02504603192608812,0.38236939331351394,-0.0011574075366098668,0.023940503973289395,0.05420956228616447,0.01775919834215145,0.010486273401573598,-0.022472855852058604,0
2006-11-01T00:00:00Z,-0.09248731272162303,-0.01886848430438448,-0.07326204258256297,-0.08124368806249649,-0.10232028305865626,-0.008602836015676019,0.011549922149280079,0.022472855852058604,0
2006-12-01T00:00:00Z,-0.19637331024960503,-0.05884050002293151,-0.08514396281483627,-0.026837134678093122,-0.027124605089081655,-0.059431348897437175,-0.0032863879343665303,-0.022472855852058604,0
2007-01-01T00:00:00Z,0.02790878811707742,-0.1643030512912773,-0.1187163068393815,0.051984291043005726,0.017359815369179188,0.022610325472140147,-0.0028255257790412713,0.04445176257083361,0
2007-02-01T00:00:00Z,0.1409578763426964,-0.024097551579060905,-0.0030604461531034133,-0.055637594124227974,-0.05437313204077654,-0.07195089734405613,0.011953734275998329,-0.021978906718775004,0
2007-03-01T00:00:00Z,0.04289156462931132,0.01212136053234758,7.659900795822239e-4,0.13312943346745953,0.13727330400072546,0.15230502836630677,-0.0027998151747468114,-0.022472855852058604,0
2007-04-01T00:00:00Z,0.06286727806027059,0.16612687087397404,0.1796380205850987,-0.034317955086372365,-0.07197712735754891,-0.04845492856917488,0.0016341780221349467,0.022472855852058604,0
2007-05-01T00:00:00Z,0.07589848292751,-0.14231622218025564,0.07752958638632279,0.08337338943238493,0.059853054612258205,0.08000248508944807,0.016884869745101838,-0.022472855852058604,0
2007-06-01T00:00:00Z,0.12183535286133207,0.16251892949777513,0.07963273158306805,-0.02726951269491451,-0.06672716479241458,-0.06505342310491002,-0.06075364390089355,0.04445176257083361,0
2007-07-01T00:00:00Z,-0.14877300859314246,0.1484200051182718,0.12136085700426591,0.0500786091899279,-0.03646868007496451,-0.003947337390524552,-0.13412346926349983,0.021506205220963803,0
